"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.48361488071084e-16,3.5055503920996,0.03,0.002,8.32954758692801e-12,"Alpha cell","FAM71F1"
2.52559708383205e-16,4.653917498551,0.029,0.002,8.47034749975592e-12,"Alpha cell","AC026167.1"
2.58393218019408e-16,2.17625975889101,0.052,0.01,8.6659917459349e-12,"Alpha cell","KIAA1614"
2.58883706988719e-16,3.88951316112332,0.026,0.001,8.68244176498767e-12,"Alpha cell","BTNL8"
2.6355604288841e-16,4.28222894840957,0.027,0.001,8.83914256639149e-12,"Alpha cell","SLC13A1"
2.65345658845362e-16,4.22233322961037,0.04,0.005,8.89916270635575e-12,"Alpha cell","AL162718.1"
2.6877561612595e-16,3.79316048561177,0.027,0.001,9.01419661363213e-12,"Alpha cell","AC093523.1"
2.76812229361566e-16,2.00849427173636,0.138,0.056,9.2837285483282e-12,"Alpha cell","AC002429.2"
2.78975057269198e-16,3.78670346595285,0.027,0.001,9.35626547069435e-12,"Alpha cell","AC016700.3"
3.04641351449984e-16,6.67300960988928,0.02,0,1.02170616449296e-11,"Alpha cell","AC007881.2"
3.04641351449984e-16,7.91425227862331,0.02,0,1.02170616449296e-11,"Alpha cell","AL160162.1"
3.10369401012036e-16,1.26850138871415,0.135,0.052,1.04091689711417e-11,"Alpha cell","TSHZ3"
3.52838253954661e-16,1.02957322744992,0.258,0.139,1.18334893611314e-11,"Alpha cell","TSGA10"
3.56325147386132e-16,1.77009792215842,0.047,0.008,1.19504327930361e-11,"Alpha cell","LINC00908"
4.03971088909863e-16,2.81242826796647,0.042,0.006,1.3548382379859e-11,"Alpha cell","AC078850.2"
4.18015035716473e-16,1.36940932032023,0.156,0.067,1.40193882678591e-11,"Alpha cell","AC058822.1"
4.20044646371428e-16,2.60627062595001,0.051,0.009,1.4087457350005e-11,"Alpha cell","MALINC1"
4.36607633385414e-16,3.13356215811244,0.035,0.004,1.464294680848e-11,"Alpha cell","U91328.2"
4.39553326197325e-16,2.21855210451055,0.047,0.008,1.47417394540059e-11,"Alpha cell","MELTF-AS1"
4.46472164229654e-16,1.5676348755794,0.127,0.049,1.49737834439341e-11,"Alpha cell","LINC01266"
5.17698691106293e-16,3.61308643820755,0.041,0.006,1.73625787023229e-11,"Alpha cell","MLIP-AS1"
5.75635810346562e-16,3.89415049431519,0.034,0.003,1.9305673807403e-11,"Alpha cell","LINC02196"
5.85965857095322e-16,1.33076891997409,0.581,0.413,1.96521229152629e-11,"Alpha cell","DPP6"
6.41075931704159e-16,1.05089282305876,0.12,0.044,2.15004045974941e-11,"Alpha cell","PALM2"
6.60233769663067e-16,2.44881365648742,0.057,0.012,2.21429201669599e-11,"Alpha cell","MRVI1-AS1"
6.8041364352284e-16,6.13490962050727,0.021,0,2.2819712776469e-11,"Alpha cell","ACAN"
6.95060489423892e-16,5.48499246305431,0.021,0,2.33109386942985e-11,"Alpha cell","AC018437.2"
7.0666686120986e-16,4.67624223826009,0.021,0,2.37001931912563e-11,"Alpha cell","TAC3"
8.05337892563933e-16,3.87849993852141,0.032,0.003,2.70094222408092e-11,"Alpha cell","SLC30A10"
8.27375615006797e-16,1.25827817149448,0.216,0.11,2.77485233760979e-11,"Alpha cell","EML6"
8.34393695660944e-16,1.12095396636007,0.218,0.109,2.79838957650767e-11,"Alpha cell","SIPA1L2"
8.6625576449764e-16,2.23712085144044,0.059,0.013,2.90524858297219e-11,"Alpha cell","AK8"
9.39825158735015e-16,1.398927181742,0.105,0.036,3.1519856173655e-11,"Alpha cell","ZNF460-AS1"
9.57633834456204e-16,3.32231149030573,0.04,0.005,3.21171235399922e-11,"Alpha cell","ACSBG2"
9.98052965905418e-16,1.44981298151365,0.11,0.039,3.34727003705359e-11,"Alpha cell","LINC00240"
1.02109691307385e-15,1.44413588863078,0.197,0.099,3.42455482706707e-11,"Alpha cell","KAT2B"
1.07289553281636e-15,3.02583997549287,0.042,0.006,3.59827703795951e-11,"Alpha cell","AL596218.1"
1.0803288872719e-15,2.58319897139185,0.057,0.012,3.62320702213251e-11,"Alpha cell","TFCP2L1"
1.08748680598352e-15,2.77596524500588,0.042,0.006,3.64721324990752e-11,"Alpha cell","LINC01185"
1.09463544437568e-15,3.59601791793677,0.031,0.003,3.67118835334715e-11,"Alpha cell","OR9Q1"
1.11575073082394e-15,3.20810896021723,0.042,0.006,3.74200480103732e-11,"Alpha cell","ZNF556"
1.13045217950461e-15,2.18367657395132,0.055,0.011,3.79131051962255e-11,"Alpha cell","AC003002.2"
1.14774602555562e-15,1.03455881771977,0.135,0.052,3.84931062050845e-11,"Alpha cell","TMEM179"
1.15252150956056e-15,1.05306773805943,0.163,0.071,3.86532663876421e-11,"Alpha cell","RIMKLA"
1.18210625169742e-15,5.17658974477893,0.022,0.001,3.96454794694282e-11,"Alpha cell","BTG4"
1.20604124738584e-15,4.38257910204315,0.022,0.001,4.04482113548263e-11,"Alpha cell","KCNF1"
1.21730774527403e-15,3.14331294327186,0.036,0.004,4.08260671610003e-11,"Alpha cell","LDHAL6A"
1.29826174520952e-15,1.98242088974179,0.062,0.014,4.35411024108368e-11,"Alpha cell","IL34"
1.39269217590354e-15,1.15441522097901,0.248,0.134,4.67081101954531e-11,"Alpha cell","ENTPD3-AS1"
1.48557863967544e-15,2.70009449619245,0.03,0.002,4.9823336417435e-11,"Alpha cell","MS4A2"
1.59174080060655e-15,5.08178583926069,0.024,0.001,5.33838029707425e-11,"Alpha cell","SLC22A9"
1.62994482878039e-15,4.03992277190707,0.029,0.002,5.46650896676368e-11,"Alpha cell","AC079340.1"
1.64651300397381e-15,4.26055799834517,0.024,0.001,5.52207531272735e-11,"Alpha cell","AC104063.1"
1.66879470877633e-15,4.08664111150029,0.029,0.002,5.59680369429406e-11,"Alpha cell","WDR64"
1.91007600900312e-15,3.76569813515653,0.027,0.002,6.40601291899466e-11,"Alpha cell","LCT"
1.99230421859635e-15,1.12304369772592,0.196,0.096,6.68178988832844e-11,"Alpha cell","AKAP6"
